city_id,city_name,state_id,state_code,county_area
927,Lone Jack,8,MO,Jackson
928,Lone Tree,2,CO,Douglas
929,Longbranch,15,WA,Pierce
930,Longmont,2,CO,Boulder
931,Longton,6,KS,Elk
932,Lorena,14,TX,McLennan
933,Louisburg,6,KS,Miami
934,Louisiana,8,MO,Pike
935,Louisville,2,CO,Boulder
936,Loveland,2,CO,Larimer
937,Lowell,10,NC,Gaston
938,Lowgap,10,NC,Surry
939,Luling,14,TX,Caldwell
940,Lumberton,10,NC,Robeson
941,Lyles,13,TN,"Hickman County, TN"
942,Lyman,12,SC,Spartanburg
943,Lynchburg,13,TN,"Moore County, TN"
944,Lynnville,13,TN,"Giles County, TN"
945,Lynn,10,NC,Polk
946,Lyons,2,CO,Boulder
947,MADEIRA BEACH,3,FL,Pinellas
948,MADISON,3,FL,Madison
949,MAITLAND,3,FL,Orange
950,MARIANNA,3,FL,Jackson
951,MARTIN,13,TN,Weakley
952,MASCOTTE,3,FL,Lake
953,MAUNABO,11,PR,Maunabo
954,MAYAGUEZ,11,PR,Mayagüez
955,MC EWEN,13,TN,"Humphreys County, TN"
956,MELBOURNE,3,FL,Brevard
957,MERRITT ISLAND,3,FL,Brevard
958,MIAMI,3,FL,Miami-Dade
959,MIDWAY,3,FL,Gadsden
960,MIMS,3,FL,Brevard
961,MINNEOLA,3,FL,Lake
962,MOORESBURG,13,TN,Other County
963,MORRISTON,3,FL,Levy
964,MOUNT DORA,3,FL,Orange
965,MULBERRY,3,FL,Polk
966,MYAKKA CITY,3,FL,Manatee
967,Madison,13,TN,"Davidson County, TN"
968,Maggie Valley,10,NC,Haywood
969,Maiden,10,NC,Lincoln
970,Manchaca,14,TX,Travis
971,Manchester,8,MO,St Louis
972,Manchester,13,TN,"Coffee County, TN"
973,Manhattan,6,KS,Riley
974,Manor,14,TX,Travis
975,Marble Falls,14,TX,Travis
976,Marble Hill,8,MO,Bollinger
977,Marion,10,NC,McDowell
978,Marion,14,TX,Guadalupe
979,Mars Hill,10,NC,Madison
980,Marshall,8,MO,"Saline, MO"
981,Marshall,10,NC,Madison
982,Marshville,10,NC,Union
983,Martindale,14,TX,Caldwell
984,Martinsville,8,MO,Harrison
985,Martin,13,TN,Weakley
986,Marvin,10,NC,Union
987,Maryville,8,MO,Nodaway
988,Maryville,13,TN,"Blount County, TN"
989,Mason,14,TX,Mason
990,Matthews,10,NC,Union
991,Maxwell,14,TX,Hays
992,Maynardville,13,TN,"Union County, TN"
993,Maysville,8,MO,Dekalb
994,Mayview,8,MO,Lafayette
995,Maywood,5,IL,Cook
996,Mc Minnville,13,TN,"Warren County, TN"
997,McAdenville,10,NC,Gaston
998,McBee,12,SC,Chesterfield
999,McConnells,12,SC,York
1000,McDade,14,TX,Bastrop
1001,McGrady,10,NC,Wilkes
1002,McLeansville,10,NC,Guilford
1003,McLouth,6,KS,Leavenworth
1004,Meadowlakes,14,TX,Burnet
1005,Mead,2,CO,Weld
1006,Mebane,10,NC,Caswell
1007,Medina,13,TN,Weakley
1008,Memphis,13,TN,"Shelby County, TN"
1009,Menlo,4,GA,"Walker County, GA"
1010,Merriam,6,KS,"Johnson, KS"
1011,Metamora,5,IL,Woodford
1012,Michie,13,TN,"Hardin County, TN"
1013,Middlebrook,8,MO,Iron
1014,Midland,10,NC,Cabarrus
1015,Midlothian,5,IL,Cook
1016,Milano,14,TX,Milam
1017,Mill Spring,10,NC,Polk
1018,Millers Creek,10,NC,Wilkes
1019,Milliken,2,CO,Weld
1020,Mills River,10,NC,Henderson
1021,Milton,13,TN,"Rutherford County, TN"
