location_id,location_code,location_name,location_type,area,city,state_code,country,latitude,longitude
102,USCONBESHTQDKR,Harvest Ridge,neighborhood,Adams,Thornton,CO,US,39.87712,-104.96313
103,USCONBHCQSNHON,Holly Ridge,neighborhood,Adams,Thornton,CO,US,39.90053547,-104.92377394
104,USCONBYLMYJBBK,Lakeview Estates,neighborhood,Adams,Thornton,CO,US,39.97900618,-104.89251916
105,USCONBZMSTNUNL,North Creek Farms,neighborhood,Adams,Thornton,CO,US,39.99883881,-104.96342345
106,USCONBYEAVWCBX,Peachtree Homes At The Lakes,neighborhood,Adams,Thornton,CO,US,39.93041758,-104.9593112
107,USCONBFMMAGWQK,Quebec Riverdale,neighborhood,Adams,Thornton,CO,US,39.93470816,-104.90528546
108,USCONBRGEEALEM,Riverdale,neighborhood,Adams,Thornton,CO,US,39.929994,-104.916072
109,USCONBMRNBBSFY,Riverdale Heights,neighborhood,Adams,Thornton,CO,US,39.87968979,-104.94918436
110,USCONBDTHHAUGO,Sage Valley Condo,neighborhood,Adams,Thornton,CO,US,39.88542476,-104.94945285
111,USCONBAKMIDWFG,Settlers Chase Prospects,neighborhood,Adams,Thornton,CO,US,39.88302,-104.94819
112,USCONBKKAUPWQB,Sundance At Lambertson Lakes,neighborhood,Adams,Thornton,CO,US,39.87615564,-104.9768766
113,USCONBJBCIHTUR,Thornton Blks 77-82 Amd,neighborhood,Adams,Thornton,CO,US,39.86360667,-104.95036081
114,USCONBRBFZDVRB,Villages North Sub Filing 2,neighborhood,Adams,Thornton,CO,US,39.86393553,-104.94484372
115,USCONBIRNKFGCW,Woodbridge Station,neighborhood,Adams,Thornton,CO,US,39.93247117,-104.92460381
116,USCONBKWZIFZDX,Woodglen Meadows,neighborhood,Adams,Thornton,CO,US,39.92776,-104.93668
117,USCONBYMKRVSPY,Reunion,neighborhood,Adams,Commerce City,CO,US,39.89465454,-104.79199338
118,USCONBGEUVGQAJ,Reunion Ridge,neighborhood,Adams,Commerce City,CO,US,39.882611,-104.83371473
119,USCONBNDFGCSEE,Buffalo Highlands,neighborhood,Adams,Commerce City,CO,US,39.86352301,-104.78236
120,USCONBRZNZCCEE,Reunion- American Dream,neighborhood,Adams,Commerce City,CO,US,39.884225985,-104.82991206
121,USCONBQZEANNGX,Settlers Crossing,neighborhood,Adams,Commerce City,CO,US,39.87603991,-104.766438445
122,USCONBYRNEHHZJ,Belle Creek,neighborhood,Adams,Commerce City,CO,US,39.893958,-104.87547
123,USCONBXSEHYHGH,Linden,neighborhood,Adams,Commerce City,CO,US,39.88888752,-104.84177546500001
124,USCONBNFZTSAQG,Mowrey Sub,neighborhood,Adams,Commerce City,CO,US,39.82495515,-104.91209082
125,USCONBGCJRALXM,Fronterra Village Filing 2,neighborhood,Adams,Commerce City,CO,US,39.87570831,-104.80857634
126,USCONBRYCPDEJV,Martin,neighborhood,Adams,Commerce City,CO,US,39.80490263,-104.92607914
127,USCONBYHABCLOE,Monaco,neighborhood,Adams,Commerce City,CO,US,39.83891065,-104.91212727
128,USCONBSLBHULXL,Morningdale,neighborhood,Adams,Commerce City,CO,US,39.8245336,-104.92430118
129,USCONBOEAOILYX,Norwood,neighborhood,Adams,Commerce City,CO,US,39.83772865,-104.92253923
130,USCONBFVJCWIDO,Quebec Estates,neighborhood,Adams,Commerce City,CO,US,39.84645526,-104.90285036
131,USCONBJFZDVOKA,Reunion-American Dream,neighborhood,Adams,Commerce City,CO,US,39.88438498,-104.82986078
