location_id,location_code,location_name,location_type,area,city,state_code,country,latitude,longitude
54,USKSARUNDEXTLA,"Jefferson, MO",area,"Jefferson, MO",,KS,US,39.319144,-95.272187
55,USKSARIZVUFBIF,Wyandotte,area,Wyandotte,,KS,US,39.1204165,-94.690971
56,USMOARVMWLVEFC,Buchanan,area,Buchanan,,MO,US,39.766947,-94.830017
57,USKSARTVXZKQYO,Miami,area,Miami,,KS,US,38.57218161,-94.8721855
58,USTNARELBKYMSX,"Coffee County, TN",area,"Coffee County, TN",,TN,US,35.47068425,-86.08319705
59,USTNARPPILIEKZ,"Marshall County, TN",area,"Marshall County, TN",,TN,US,35.468624344999995,-86.799300515
60,USKYARXINSPEKJ,"Christian County, KY",area,"Christian County, KY",,KY,US,36.65161574,-87.40708998
61,USKYARWAAZAFPJ,"Hopkins County, KY",area,"Hopkins County, KY",,KY,US,37.31915529,-87.495444905
62,USMOARKXGUQZVE,Ralls,area,Ralls,,MO,US,39.545443000000006,-91.5382075
63,USKSARFDGIFZPY,Riley,area,Riley,,KS,US,39.128850305,-96.556001705
64,USMOARCEYGZDXQ,Scott,area,Scott,,MO,US,37.222438999999994,-89.509929
65,USMOARJGRPFYGY,Shannon,area,Shannon,,MO,US,36.97075334,-91.42865230999999
66,USKSARUIJZLELD,Wabaunsee,area,Wabaunsee,,KS,US,39.0193295,-96.128398
67,USMOARKLYUTAUP,Jackson,area,Jackson,,MO,US,39.019459999999995,-94.4674535
68,USTNARRGUAHWIE,"Montgomery County, TN",area,"Montgomery County, TN",,TN,US,36.57113786,-87.34829988499999
69,USTNARKTBWVAHU,"Wilson County, TN",area,"Wilson County, TN",,TN,US,36.23075381,-86.35749515
70,USMOARYTSZYINX,Cass,area,Cass,,MO,US,38.80089262,-94.482369
71,USCONBWYBHYAVV,The Lakes At Dunes Park Condo,neighborhood,Adams,Commerce City,CO,US,39.90078276,-104.8685886
72,USCONBETQFCPQH,Bromley Park,neighborhood,Adams,Brighton,CO,US,39.982425645,-104.74994287
73,USCONBSYGVHBSH,The Preserve,neighborhood,Adams,Brighton,CO,US,39.991647355,-104.77712485
74,USCONBBDVTYPEW,Clover Meadows,neighborhood,Adams,Brighton,CO,US,39.99701159,-104.80498309999999
75,USCONBICKSGDFY,Eagle Shadow,neighborhood,Adams,Brighton,CO,US,39.996724799999996,-104.91367174
76,USCONBINBUPKLC,Pheasant Ridge,neighborhood,Adams,Brighton,CO,US,39.981729045,-104.77600144499999
77,USCONBDNNWKWSN,Baseline Lakes,neighborhood,Adams,Brighton,CO,US,39.99885232,-104.86445624
78,USCONBKPWYNFBG,Brighton Crossings,neighborhood,Adams,Brighton,CO,US,39.99037612,-104.74599754
79,USCONBBDWGRUED,Brighton East Farms Filing 2,neighborhood,Adams,Brighton,CO,US,39.9997627,-104.75641163
80,USCONBNHIHYHXD,Brighton East Horizons,neighborhood,Adams,Brighton,CO,US,39.99719007,-104.77677144
81,USCONBOCFQOCVT,Pleasant View,neighborhood,Adams,Brighton,CO,US,39.94136693,-104.81446801
82,USCONBOTDVWVLM,Sugar Creek,neighborhood,Adams,Brighton,CO,US,39.97756379,-104.78732583
83,USCONBHIABOPLP,The Ridge Bromley Lane Condo,neighborhood,Adams,Brighton,CO,US,39.975269,-104.788476
84,USCONBUNDPANPK,View Point East,neighborhood,Adams,Brighton,CO,US,39.96299022,-104.60918938
85,USCONBLWYESDEW,Green Valley Ranch East,neighborhood,Adams,Aurora,CO,US,39.770155364999994,-104.73060043000001
86,USCONBCQVKFOCS,High Point,neighborhood,Adams,Aurora,CO,US,39.81502112,-104.74327252
87,USCONBIVHXXORT,Morris Heights,neighborhood,Adams,Aurora,CO,US,39.7580879,-104.82933027
88,USCONBIVRYXFQI,Aurora Cascades,neighborhood,Adams,Aurora,CO,US,39.74652747,-104.76633675
89,USCONBMKUHTHRC,Aurora Cascades Sub Filing 2,neighborhood,Adams,Aurora,CO,US,39.74499499,-104.76743915
90,USCONBKJUSAAXV,Aurora Central,neighborhood,Adams,Aurora,CO,US,39.75539034,-104.82867494
91,USCONBZWEMNXUW,GATEWAY PARK ADD,neighborhood,Adams,Aurora,CO,US,39.745028,-104.864299
92,USCONBTXLVHTIE,New Englands Heights,neighborhood,Adams,Aurora,CO,US,39.7491239,-104.87026491
93,USCONBFMLLADIW,Sable,neighborhood,Adams,Aurora,CO,US,39.7503876,-104.82210502
94,USCONBUSAQRVGI,Sclavenitis,neighborhood,Adams,Aurora,CO,US,39.74334171,-104.85620471
95,USCONBBROSFZEH,Midtown,neighborhood,Adams,Denver,CO,US,39.82182195,-105.01714547
96,USCONBBRPFZXMA,Perl Mack Manor,neighborhood,Adams,Denver,CO,US,39.829287605000005,-105.006258435
97,USCONBDYBZXMGB,Arras Park,neighborhood,Adams,Denver,CO,US,39.88233037,-104.95168043
98,USCONBERNCAXHK,Berkeley,neighborhood,Adams,Denver,CO,US,39.79186154,-105.01840995
99,USMOARVSGMAYVT,Lawrence,area,Lawrence,,MO,US,37.19767501,-93.98079814
100,USKSARVMRBYUBR,Lyon,area,Lyon,,KS,US,38.3961334,-96.18293548
101,USALARPVFWNVKM,"Madison County, AL",area,"Madison County, AL",,AL,US,34.95657963,-86.77794976
102,USMOARFHMNNQXU,Maries,area,Maries,,MO,US,38.043031,-92.086807
103,USOKARFOELZVBE,Pawnee,area,Pawnee,,OK,US,36.15979404,-96.80700961
104,USMOARRCNEUEDL,Perry,area,Perry,,MO,US,37.693639,-89.590641
105,USMOARVEEWSLZL,St. Louis,area,St. Louis,,MO,US,38.04645373,-93.70270413
106,USMOARBDFXGPJY,Stone,area,Stone,,MO,US,36.643002,-93.364215
107,USKSARJMNPWVIE,Sumner,area,Sumner,,KS,US,37.476608,-97.369358
108,USKSARXFDDPTSY,Thomas,area,Thomas,,KS,US,39.37983,-101.069239
109,USTNARVVPDPBWQ,"Weakley County, TN",area,"Weakley County, TN",,TN,US,36.31746969,-88.72622505
110,USMOARFNGUBKZO,Wright,area,Wright,,MO,US,37.077857,-92.332071
111,USNCCIYBHQECEJ,China Grove,city,,China Grove,NC,US,35.567865,-80.582435
112,USNCCINHHOVCNH,Spencer,city,,Spencer,NC,US,35.695472,-80.435383
113,USNCCIHCYDUMBU,Faith,city,,Faith,NC,US,35.587154,-80.46570527
114,USNCCIONFBGFAS,Mount Pleasant,city,,Mount Pleasant,NC,US,35.40187383,-80.432817
115,USNCCILOLEBEPW,Statesville,city,,Statesville,NC,US,35.785234,-80.88197
116,USNCCIBJEELLOQ,Woodleaf,city,,Woodleaf,NC,US,35.760664,-80.584608
117,USNCCIQMCNIAED,Denton,city,,Denton,NC,US,35.62033739,-80.203396
118,USNCCIDAHXXZGN,Mooresville,city,,Mooresville,NC,US,35.57918369,-80.8506165
119,USNCNBIMUFFUPK,NONE,neighborhood,,Salisbury,NC,US,35.668021,-80.463147
120,USNCNBXNPHWSMR,COUNTRY CLUB HILLS,neighborhood,,Salisbury,NC,US,35.705934525,-80.473234925
121,USNCNBQYXHBRRQ,SUMMERFIELD,neighborhood,,Salisbury,NC,US,35.654426,-80.5404575
122,USNCNBSCAMBRBH,CAMERON GLEN,neighborhood,,Salisbury,NC,US,35.672770445,-80.54629096
123,USNCNBYMYCRRZM,HIDDEN CREEK,neighborhood,,Salisbury,NC,US,35.707221454999996,-80.502069
124,USCONBQOBCLJWL,Clear Creek Gardens,neighborhood,Adams,Denver,CO,US,39.83394541,-104.97878519
125,USCONBRQXDAWRM,Fairview,neighborhood,Adams,Denver,CO,US,39.84124218,-105.02307165
126,USCONBYYIUCKUP,North Federal Heights,neighborhood,Adams,Denver,CO,US,39.86064275,-105.02040754
127,USCONBKSXDBWOA,Perl Mack Manor Fourth Filing,neighborhood,Adams,Denver,CO,US,39.82831153,-105.01001025
128,USCONBLJISVHOG,Perl Mack Manor Ninth Filing,neighborhood,Adams,Denver,CO,US,39.83684885,-105.00347427
129,USCONBOBAJSHUH,PerlMackManorThirdFiling,neighborhood,Adams,Denver,CO,US,39.82468306,-105.00980243
130,USCONBWYBQBMTT,Quail Crossing,neighborhood,Adams,Denver,CO,US,39.94175445,-105.00261014
131,USCONBKIULSUAG,Welby Hill Condo,neighborhood,Adams,Denver,CO,US,39.8474374,-104.95675731
132,USCONBTTWBSNAG,Westbury Farms At Apple Valley North,neighborhood,Adams,Denver,CO,US,39.90035841,-105.000926
133,USCONBADVMQEKM,Westminster Station,neighborhood,Adams,Denver,CO,US,39.82307497,-105.02332219
134,USCONBFBMXAWBV,Westmoreland,neighborhood,Adams,Denver,CO,US,39.79634597,-105.02040302
135,USCONBAUKAGSQL,Sunset Ridge,neighborhood,Adams,Westminster,CO,US,39.864792905,-105.03461436500001
136,USCONBQSJYZEOU,Huntington Trails,neighborhood,Adams,Westminster,CO,US,39.95491,-105.00229999999999
137,USCONBRVKSFVGZ,Shaw Heights,neighborhood,Adams,Westminster,CO,US,39.853223944999996,-105.03568869
138,USCONBKSMFOPBT,The Village at Harmony Park,neighborhood,Adams,Westminster,CO,US,39.933799385,-105.012319085
139,USCONBDAXLPGWM,Wild Flower Condo,neighborhood,Adams,Westminster,CO,US,39.910953045,-105.02465272
140,USCONBAWKBNDCS,Amherst,neighborhood,Adams,Westminster,CO,US,39.93610906,-105.0135351
141,USCONBBZAKSAUG,Apple Valley North,neighborhood,Adams,Westminster,CO,US,39.9007132,-104.99951767
142,USCONBKGKRADYB,Autumn Chase,neighborhood,Adams,Westminster,CO,US,39.88991005,-105.0274284
143,USCONBJBCIHTUR,Thornton Blks 77-82 Amd,neighborhood,Adams,Thornton,CO,US,39.86360667,-104.95036081
144,USCONBRBFZDVRB,Villages North Sub Filing 2,neighborhood,Adams,Thornton,CO,US,39.86393553,-104.94484372
145,USCONBIRNKFGCW,Woodbridge Station,neighborhood,Adams,Thornton,CO,US,39.93247117,-104.92460381
146,USCONBKWZIFZDX,Woodglen Meadows,neighborhood,Adams,Thornton,CO,US,39.92776,-104.93668
147,USCONBYMKRVSPY,Reunion,neighborhood,Adams,Commerce City,CO,US,39.89465454,-104.79199338
148,USCONBGEUVGQAJ,Reunion Ridge,neighborhood,Adams,Commerce City,CO,US,39.882611,-104.83371473
149,USCONBNDFGCSEE,Buffalo Highlands,neighborhood,Adams,Commerce City,CO,US,39.86352301,-104.78236
150,USCONBRZNZCCEE,Reunion- American Dream,neighborhood,Adams,Commerce City,CO,US,39.884225985,-104.82991206
151,USCONBQZEANNGX,Settlers Crossing,neighborhood,Adams,Commerce City,CO,US,39.87603991,-104.766438445
152,USCONBYRNEHHZJ,Belle Creek,neighborhood,Adams,Commerce City,CO,US,39.893958,-104.87547
153,USCONBXSEHYHGH,Linden,neighborhood,Adams,Commerce City,CO,US,39.88888752,-104.84177546500001
154,USCONBNFZTSAQG,Mowrey Sub,neighborhood,Adams,Commerce City,CO,US,39.82495515,-104.91209082
155,USCONBGCJRALXM,Fronterra Village Filing 2,neighborhood,Adams,Commerce City,CO,US,39.87570831,-104.80857634
156,USCONBRYCPDEJV,Martin,neighborhood,Adams,Commerce City,CO,US,39.80490263,-104.92607914
157,USCONBYHABCLOE,Monaco,neighborhood,Adams,Commerce City,CO,US,39.83891065,-104.91212727
158,USCONBSLBHULXL,Morningdale,neighborhood,Adams,Commerce City,CO,US,39.8245336,-104.92430118
159,USCONBOEAOILYX,Norwood,neighborhood,Adams,Commerce City,CO,US,39.83772865,-104.92253923
160,USCONBFVJCWIDO,Quebec Estates,neighborhood,Adams,Commerce City,CO,US,39.84645526,-104.90285036
161,USCONBJFZDVOKA,Reunion-American Dream,neighborhood,Adams,Commerce City,CO,US,39.88438498,-104.82986078
162,USCONBSMWWLECW,Ash Grove,neighborhood,Adams,Thornton,CO,US,39.92699,-104.91693
