city_id,city_name,state_id,state_code,county_area
1027,Leawood,6,KS,"Johnson, KS"
1028,Lebanon,8,MO,Laclede
1029,Lebanon,13,TN,"Wilson County, TN"
1030,Lee's Summit,8,MO,Jackson
1031,Leeton,8,MO,"Johnson, MO"
1032,Leicester,10,NC,Buncombe
1033,Lenexa,6,KS,"Johnson, KS"
1034,Lenoir City,10,NC,Caldwell
1035,Lenoir,10,NC,Caldwell
1036,Leoma,13,TN,"Lawrence County, TN"
1037,Lewisburg,13,TN,"Marshall County, TN"
1038,Lewisville,10,NC,Forsyth
1039,Lexington,8,MO,Lafayette
1040,Lexington,10,NC,Davidson
1041,Lexington,13,TN,"Henderson County, TN"
1042,Lexington,14,TX,Lee
1043,Liberty Hill,12,SC,Kershaw
1044,Liberty Hill,14,TX,Williamson
1045,Liberty,8,MO,Clay
1046,Liberty,13,TN,"Cannon County, TN"
1047,Lilesville,10,NC,Anson
1048,Lincolnton,10,NC,Lincoln
1049,Lincoln,8,MO,Benton
1050,Lincoln,14,TX,Lee
1051,Linden,13,TN,"Perry County, TN"
1052,Linn Creek,8,MO,Camden
1053,Linn Valley,6,KS,"Linn, KS"
1054,Linville Falls,10,NC,McDowell
1055,Linville,10,NC,Avery
1056,Linwood,6,KS,Leavenworth
1057,Lisle,5,IL,Du Page
1058,Little Switzerland,10,NC,Mitchell
1059,Littleton,2,CO,Douglas
1060,Livermore,2,CO,Larimer
1061,Livingston,5,IL,Madison-IL
1062,Livingston,13,TN,"Overton County, TN"
1063,Livingston,14,TX,Polk
1064,Llano,14,TX,Llano
1065,Lobelville,13,TN,"Perry County, TN"
1066,Loch Lloyd,8,MO,Cass
1067,Lochbuie,2,CO,Weld
1068,Lockhart,14,TX,Caldwell
1069,Locust,10,NC,Stanly
1070,Lometa,14,TX,Lampasas
1071,Lone Jack,8,MO,Jackson
1072,Lone Tree,2,CO,Douglas
1073,Longbranch,16,WA,Pierce
1074,Longmont,2,CO,Boulder
1075,Longton,6,KS,Elk
1076,Lorena,14,TX,McLennan
1077,Louisburg,6,KS,Miami
1078,Louisiana,8,MO,Pike
1079,Louisville,2,CO,Boulder
1080,Loveland,2,CO,Larimer
1081,Lowell,10,NC,Gaston
1082,Lowgap,10,NC,Surry
1083,Lowry City,8,MO,St. Clair
1084,Luling,14,TX,Caldwell
1085,Lumberton,10,NC,Robeson
1086,Lyles,13,TN,"Hickman County, TN"
1087,Lyman,12,SC,Spartanburg
1088,Lynchburg,13,TN,"Moore County, TN"
1089,Lynnville,13,TN,"Giles County, TN"
1090,Lynn,10,NC,Polk
1091,Lyons,2,CO,Boulder
1092,Lytle,14,TX,Atascosa
1093,MADEIRA BEACH,3,FL,Pinellas
1094,MADISON,3,FL,Madison
1095,MAITLAND,3,FL,Orange
1096,MARCO ISLAND,3,FL,Collier
1097,MARIANNA,3,FL,Jackson
1098,MARTIN,13,TN,Weakley
1099,MASCOTTE,3,FL,Lake
1100,MAUNABO,11,PR,Maunabo
1101,MAYAGUEZ,11,PR,Mayagüez
1102,MC EWEN,13,TN,"Humphreys County, TN"
1103,MELBOURNE BEACH,3,FL,Brevard
1104,MELBOURNE,3,FL,Brevard
1105,MELROSE,3,FL,Putnam
1106,MERRITT ISLAND,3,FL,Brevard
1107,MIAMI,3,FL,Miami-Dade
1108,MIDWAY,3,FL,Gadsden
1109,MILTON,3,FL,Santa Rosa
1110,MIMS,3,FL,Brevard
1111,MINNEOLA,3,FL,Lake
1112,MOORESBURG,13,TN,Other County
1113,MORRISTON,3,FL,Levy
1114,MOUNT DORA,3,FL,Lake
1115,MULBERRY,3,FL,Polk
1116,MYAKKA CITY,3,FL,Manatee
1117,Madison,10,NC,Madison
1118,Madison,13,TN,"Davidson County, TN"
1119,Maggie Valley,10,NC,Haywood
1120,Maiden,10,NC,Catawba
1121,Manchaca,14,TX,Travis
1122,Manchester,8,MO,St Louis
1123,Manchester,13,TN,"Coffee County, TN"
1124,Manhattan,6,KS,Riley
1125,Manor,14,TX,Travis
1126,Marble Falls,14,TX,Burnet
1127,Marble Hill,8,MO,Bollinger
1128,Marietta,12,SC,Greenville
1129,Marion,10,NC,McDowell
1130,Marion,14,TX,Guadalupe
1131,Mars Hill,10,NC,Yancey
1132,Marshall,8,MO,"Saline, MO"
1133,Marshall,10,NC,Madison
1134,Marshville,10,NC,Union
1135,Martindale,14,TX,Guadalupe
1136,Martinsville,8,MO,Harrison
1137,Martin,13,TN,Weakley
1138,Marvin,10,NC,Union
1139,Maryville,8,MO,Nodaway
1140,Maryville,13,TN,"Blount County, TN"
1141,Mason,14,TX,Mason
1142,Matthews,10,NC,Mecklenburg
1143,Maxwell,14,TX,Hays
1144,Maynardville,13,TN,"Union County, TN"
1145,Maysville,8,MO,Dekalb
1146,Mayview,8,MO,Lafayette
1147,Maywood,5,IL,Cook
1148,Mc Cune,6,KS,"Crawford, KS"
1149,Mc Minnville,13,TN,"Warren County, TN"
1150,McAdenville,10,NC,Gaston
1151,McBee,12,SC,Chesterfield
1152,McConnells,12,SC,York
1153,McDade,14,TX,Bastrop
1154,McGrady,10,NC,Wilkes
1155,McLeansville,10,NC,Guilford
1156,McLouth,6,KS,"Jefferson, KS"
1157,Mccullom Lake,5,IL,Mc Henry
1158,Meadowlakes,14,TX,Burnet
1159,Mead,2,CO,Weld
1160,Mebane,10,NC,Caswell
1161,Medina,13,TN,Weakley
1162,Memphis,13,TN,"Shelby County, TN"
1163,Menlo,4,GA,"Walker County, GA"
1164,Meriden,6,KS,"Jefferson, KS"
1165,Merino,2,CO,Logan
1166,Merriam,6,KS,"Johnson, KS"
1167,Metamora,5,IL,Woodford
1168,Mexia,14,TX,Limestone
1169,Michie,13,TN,"Hardin County, TN"
1170,Middlebrook,8,MO,Iron
1171,Midland,10,NC,Cabarrus
1172,Midlothian,5,IL,Cook
1173,Milano,14,TX,Milam
1174,Mill Spring,10,NC,Polk
1175,Millers Creek,10,NC,Wilkes
1176,Milliken,2,CO,Weld
1177,Mills River,10,NC,Henderson
1178,Milton,13,TN,"Rutherford County, TN"
1179,Mindenmines,8,MO,"Barton, MO"
1180,Mineral Springs,10,NC,Union
1181,Minor Hill,13,TN,"Giles County, TN"
1182,Mint Hill,10,NC,Mecklenburg
1183,Misenheimer,10,NC,Stanly
1184,Mission Hills,6,KS,"Johnson, KS"
1185,Mission,6,KS,"Johnson, KS"
1186,Moberly,8,MO,Monroe
1187,Mocksville,10,NC,Davie
1188,Moffat,2,CO,Saguache
1189,Mokena,5,IL,Will
1190,Monroe,10,NC,Union
1191,Monroe,13,TN,"Pickett County, TN"
1192,Monteagle,13,TN,"Grundy County, TN"
1193,Monterey,13,TN,"Overton County, TN"
1194,Montesano,16,WA,Grays Harbor
1195,Montgomery,14,TX,Montgomery
1196,Monument,2,CO,El Paso
1197,Mooresboro,10,NC,Rutherford
1198,Mooresville,8,MO,Livingston
1199,Mooresville,10,NC,Iredell
1200,Moran,6,KS,Allen
1201,Moravian Falls,10,NC,Wilkes
1202,Morganton,10,NC,Burke
1203,Morrison,2,CO,Jefferson
1204,Morrison,13,TN,"Warren County, TN"
1205,Morristown,13,TN,"Hamblen County, TN"
1206,Morrisville,10,NC,Iredell
1207,Morris,5,IL,Grundy
1208,Morven,10,NC,Anson
1209,Mosca,2,CO,Alamosa
1210,Moses Lake,16,WA,Grant
1211,Moss,13,TN,"Clay County, TN"
1212,Mound City,6,KS,"Linn, KS"
1213,Mound City,8,MO,Holt
